Filename,Depth (microns),White pixels,Black pixels,White percent
MASK_SK658 Llobe ch010039.jpg,15,21648,4172656,0.5161285400390625
MASK_SK658 Llobe ch010021.jpg,30,23900,4170404,0.5698204040527344
MASK_SK658 Llobe ch010017.jpg,45,27561,4166743,0.6571054458618164
MASK_SK658 Llobe ch010036.jpg,55,29677,4164627,0.707554817199707
MASK_SK658 Llobe ch010019.jpg,60,31331,4162973,0.7469892501831055
MASK_SK658 Llobe ch010022.jpg,80,33151,4161153,0.7903814315795898
MASK_SK658 Llobe ch010018.jpg,90,33746,4160558,0.8045673370361328
MASK_SK658 Llobe ch010023.jpg,100,37508,4156796,0.8942604064941406
MASK_SK658 Llobe ch010030.jpg,200,37799,4156505,0.9011983871459961
MASK_SK658 Slobe ch010156.jpg,330,38068,4156236,0.9076118469238281
MASK_SK658 Llobe ch010040.jpg,380,41943,4152361,0.9999990463256836
MASK_SK658 Llobe ch010051.jpg,400,43424,4150880,1.035308837890625
MASK_SK658 Llobe ch010032.jpg,500,48667,4145637,1.1603116989135742
MASK_SK658 Slobe ch010048.jpg,540,49491,4144813,1.179957389831543
MASK_SK658 Llobe ch010025.jpg,570,51040,4143264,1.216888427734375
MASK_SK658 Llobe ch010061.jpg,585,56003,4138301,1.3352155685424805
MASK_SK658 Llobe ch010024.jpg,600,56360,4137944,1.3437271118164062
MASK_SK658 Slobe ch010157.jpg,750,56419,4137885,1.3451337814331055
MASK_SK658 Llobe ch010035.jpg,780,56534,4137770,1.3478755950927734
MASK_SK658 Llobe ch010171.jpg,810,57531,4136773,1.3716459274291992
MASK_SK658 Slobe ch010159.jpg,860,59426,4134878,1.4168262481689453
MASK_SK658 Slobe ch010158.jpg,920,59788,4134516,1.4254570007324219
MASK_SK658 Llobe ch010031.jpg,955,59908,4134396,1.4283180236816406
MASK_SK658 Slobe ch010066.jpg,1000,60715,4133589,1.4475584030151367
MASK_SK658 Llobe ch010067.jpg,1500,62508,4131796,1.4903068542480469
